Case,execution_time(ms)
1,0.04801968
2,0.024575439999999997
3,0.017609399999999997
4,0.06659693000000001
5,0.02565512
6,0.11134896999999999
7,0.032216459999999995
8,0.06102999
9,0.027534740000000002
10,0.031733479999999994
11,0.14446432
12,0.05369133
13,0.08261536
14,0.04563639
15,0.07485141
16,0.21681188                                                                                                                   t-21       "scccc.pkusc.org" 16:27 05-Oct-21
17,0.08570904
18,0.17155192
19,0.05263179
20,0.13243762
