Case,Execution Time(ms)
1,0.02470416
2,0.018232730000000003
3,0.01931188
4,0.02177169
5,0.031607100000000006
6,0.06191873
7,0.013786910000000001
8,0.06025115
9,0.023231279999999997
10,0.03786796
11,0.05161365999999999
12,0.08676123000000001
13,0.021026859999999998
14,0.02194187
15,0.02645544
16,0.04437188
17,0.08704329000000001
18,0.14704033000000002
19,0.02062748
20,0.02554638
21,0.04232461
22,0.09267054
23,0.17411737000000002
24,0.35405008000000004
25,0.04443046
26,0.04284724
27,0.07393915
28,0.15222805
29,0.32823825
30,0.60564765
31,0.051283129999999996
32,0.14191053
33,0.14365417
34,0.32963615
35,0.53309455
36,1.2567877099999998
37,0.01561694
